EventType,Domain_Definition,Cumulativity,Atomicity,Homeomericity,Agentivity
Achieve,"Mission accomplishment is the realisation of the objective or end state assigned by the higher echelon, corresponding to the achievement of the commander's intent (the desired military end state defined in the operation order) [ADP 3-0, Operations; FM 6-0, Commander and Staff Organization]. Achievement of the mission concludes the executing force's responsibility for that operation.",anti-cumulative,atomic,homeomeric,agentive
Aiming,"Aiming is the intentional alignment of a weapon system on a designated target prior to engagement. In small-arms doctrine, aiming integrates the sight picture and target-acquisition processes that precede trigger discharge [ATP 3-21.8, Infantry Platoon and Squad]. At the system level, aiming corresponds to the positioning of weapons or targeting devices on a target during target engagement [DoD Dictionary of Military and Associated Terms].",anti-cumulative,anti-atomic,anti-homeomeric,agentive
Arrest,"Apprehension is the taking of a person into custody by a person authorised to do so under Article 7 of the Uniform Code of Military Justice. Apprehension is effected by clearly notifying the person of the intention to apprehend them and of the offence charged [Manual for Courts-Martial, Rule for Courts-Martial 302]. Apprehension differs from arrest, which is the moral restraint of a person by oral or written order not imposing physical restraint.",anti-cumulative,atomic,homeomeric,agentive
Attack,"An attack is an offensive task that destroys or defeats enemy forces, seizes and secures terrain, or both [FM 3-90, Tactics]. Attacks incorporate coordinated movement supported by fires, may be characterised as hasty or deliberate depending on the time available for planning and preparation, and proceed through preparation, execution, and consolidation phases.",anti-cumulative,anti-atomic,anti-homeomeric,agentive
Bearing arms,"To bear arms is to carry weapons openly in the conduct of military operations. Under Article 4(A) of the Third Geneva Convention and Article 1 of the Hague Regulations of 1907, lawful combatant status requires that arms be carried openly during military operations and that the person bearing arms be commanded by a person responsible for subordinates and wear a fixed distinctive sign recognisable at a distance.",cumulative,anti-atomic,homeomeric,non-agentive
Besieging,"Encirclement is a tactical situation in which all ground lines of communication and reinforcement of a force are interdicted by an opposing force [FM 3-90, Tactics]. The siege of a fortified position or urban area is the deliberate prosecution of such an encirclement, intended to compel surrender through the denial of resupply, reinforcement, and escape; sieges entail preparation, isolation, and reduction phases [JP 3-06, Joint Urban Operations].",anti-cumulative,anti-atomic,anti-homeomeric,agentive
Bodily harm,"The infliction of bodily harm during armed conflict is regulated by international humanitarian law. Common Article 3 of the Geneva Conventions of 1949 prohibits violence to life and person, in particular cruel treatment and any form of mutilation, against persons taking no active part in hostilities. Wounding, when lawful, occurs incident to attacks directed against military objectives and is governed by the principles of distinction and proportionality [FM 6-27, Commander's Handbook on the Law of Land Warfare].",anti-cumulative,anti-atomic,anti-homeomeric,non-agentive
Conquering,"Conquest, in the law of armed conflict, is the acquisition by a belligerent of effective control over territory through military force. Conquered territory passes under the control of the occupying power, which then assumes the duties of an occupying power under the Fourth Geneva Convention and Section III of the Hague Regulations of 1907 toward the civilian population. In operational terms, conquest follows the seizure and consolidation of objectives that constitute the territory in question.",anti-cumulative,anti-atomic,anti-homeomeric,agentive
Criminal investigation,"Military criminal investigation is the systematic examination of alleged offences against the Uniform Code of Military Justice, conducted by trained military police investigators or by the service criminal investigation organisations [AR 195-2, Criminal Investigation Activities]. The process comprises preliminary inquiry, evidence collection, suspect interview, and the submission of a final report to the commander with jurisdiction over the case [ATP 3-39.12, Law Enforcement Investigations].",anti-cumulative,anti-atomic,anti-homeomeric,agentive
Defending Repel,"A defensive operation is an operation to defeat an enemy attack, gain time, economise forces, and develop conditions favourable for offensive or stability operations [ADP 3-0, Operations]. The defending force seeks to defeat or destroy the enemy attack and gain the initiative for the offence; defence is conducted as a temporary measure and generally involves preparation of defensive positions, security operations forward of the main defence, and the integration of fires and obstacles [FM 3-90, Tactics].",anti-cumulative,anti-atomic,anti-homeomeric,agentive
Emptying,"Evacuation, in military operations, is the process of removing personnel, equipment, or materiel from a location to a place of safety or to a designated reception point [DoD Dictionary of Military and Associated Terms]. Categories include casualty evacuation (CASEVAC), medical evacuation (MEDEVAC), and non-combatant evacuation operations (NEO); each follows a distinct doctrinal sequence of preparation, movement, and reception [JP 3-68, Noncombatant Evacuation Operations; JP 4-02, Joint Health Services].",anti-cumulative,anti-atomic,anti-homeomeric,agentive
Escaping,"Escape, in the context of prisoners of war, is the act by which an interned combatant departs from the place of internment with the intention of rejoining their own forces. Under Articles 91 to 94 of the Third Geneva Convention, an escape attempt that is not aggravated by violence against persons is punishable only by disciplinary, not penal, sanctions. Successful escape and return to friendly forces terminates the prisoner-of-war status [FM 6-27, Commander's Handbook on the Law of Land Warfare].",anti-cumulative,anti-atomic,anti-homeomeric,agentive
Hostile encounter,"An engagement is a tactical conflict between opposing manoeuvre forces, usually conducted at brigade level and below [FM 3-90, Tactics]. An engagement normally lasts only a short time, from minutes to a day, and may result from one side's deliberate offensive movement or from the meeting of forces during movement to contact.",anti-cumulative,anti-atomic,anti-homeomeric,non-agentive
imprisonment,"Imprisonment, in the law of armed conflict, is the internment of captured combatants or other persons taken into custody by a party to a conflict. Under Articles 17 to 20 of the Third Geneva Convention, prisoners of war shall be interned in premises located on land and affording every guarantee of hygiene and healthfulness. Internment is the continuing condition of confinement under the authority of the detaining power, beginning at capture and terminating upon repatriation or release [FM 6-27, Commander's Handbook on the Law of Land Warfare].",anti-cumulative,anti-atomic,anti-homeomeric,agentive
Killing,"In the law of armed conflict, the killing of combatants is lawful when directed against a legitimate military objective and proportionate to the military advantage anticipated [FM 6-27, Commander's Handbook on the Law of Land Warfare]. Killing of persons who are hors de combat (those who have surrendered, are wounded, or are otherwise unable to fight), and of civilians not directly participating in hostilities, is prohibited [Geneva Conventions of 1949; Additional Protocol I, Article 51].",anti-cumulative,atomic,homeomeric,agentive
Military operation,"A military operation is a sequence of tactical actions with a common purpose or unifying theme [DoD Dictionary of Military and Associated Terms]. Operations are categorised by level (strategic, operational, tactical) and by nature (offensive, defensive, stability, and defence support of civil authorities) [ADP 3-0, Operations]. The conduct of an operation typically integrates planning, preparation, execution, and assessment activities [FM 6-0, Commander and Staff Organization].",anti-cumulative,anti-atomic,anti-homeomeric,agentive
Reporting,"Reporting is the transmission of information to a higher headquarters, subordinate unit, or supporting agency in a structured format [FM 6-0, Commander and Staff Organization]. Standard military report categories include the situation report (SITREP), the spot report (SPOTREP), and the operational report (OPREP); each follows a doctrinally specified format [AR 25-50, Preparing and Managing Correspondence].",anti-cumulative,anti-atomic,anti-homeomeric,agentive
Rescuing,"Personnel recovery is the sum of military, diplomatic, and civil efforts to prepare for and execute the recovery and reintegration of isolated personnel [JP 3-50, Personnel Recovery]. In a tactical setting, a rescue operation is the planned recovery of personnel from the territory or custody of an adversary, executed by combat search and rescue, special operations, or conventional forces.",anti-cumulative,anti-atomic,anti-homeomeric,agentive
Reveal secret,"The unauthorised disclosure of classified information is the communication, by a person with authorised access, of information that has been formally designated as protected against unauthorised disclosure [DoD Manual 5200.01, DoD Information Security Program]. Unauthorised disclosure includes oral, written, and electronic communication of classified material to persons not authorised to receive it; it is prohibited by federal law and by Article 134 of the Uniform Code of Military Justice.",anti-cumulative,anti-atomic,anti-homeomeric,agentive
