EventType,Corresponding Frame(s),FrameNetDefinitions,Generic_Definition,Cumulativity,Homeomericity,TemporalExtent,Agentivity
GiveUp,Abandonment,[Abandonment] An Agent leaves behind a Theme effectively rendering it no longer within their control or of the normal security as one's property.   'Carolyn abandoned her car and jumped on a red double decker bus.'  'Perhaps he left the key in the ignition'  'Abandonment of a child is considered to be a serious crime in many jurisdictions.'  There are also metaphorically used examples:  'She left her old ways behind .',"An event where an Agent relinquishes control or responsibility over a Theme, leaving it without protection, possession, or supervision.",anti-cumulative,homeomeric,atomic,agentive
Achieve,Accomplishment,"[Accomplishment] After a period in which the Agent has been working on a Goal, the Agent manages to attain it.  The Goal may be a desired state, or be conceptualized as an event. '' 'Jeremey obediently accomplished this task.'  'In response, the Prime Minister has simply cited his free-market accomplishments. '  ",An event where an Agent successfully achieves a Goal after a period of effort or work toward it.,anti-cumulative,homeomeric,atomic,agentive
GetReady,Activity ready state,"[Activity_ready_state] The Protagonist is in an initial state, before beginning to be involved in the Activity, but all pre-conditions for performance of the Activity have been satisfied.  In many cases, the Protagonist is an intentional agent, but there are other uses in which the agent is deprofiled, and the Protagonist is an entity which is essential to the Activity.   Alternatively, the Activity may be indicated by a Salient_entity which stands in for the Activity.  This Salient_entity may also be an intentional agent, but need not be.  'She 's not ready ! DNI.' 'He 's ready to talk , I think .' 'Is the UK government ready to do a u-turn on passport-ID cards ?' 'Check and see if Sal is ready for the bathtub .' 'The world is finally prepared for him !'",An event or condition where a Protagonist has completed all necessary preparations and is in a state of readiness to initiate a specific Activity.,anti-cumulative,homeomeric,atomic,agentive
Adducing,Adducing,"[Adducing] A Speaker mentions a Specified_entity filling a Role, thereby providing information which supports a point of the Speaker.  'He cites the chief original observations adduced by Darwin as evidence for his theory.'  'Mexico cited the drought, now in its eighth year, to avoid releasing Texas' full share of 110 billion gallons per year from the reservoirs. DNI'  'An objector will immediately point to the lack of stability of this  simple, some will say simple-minded, hierarchy. DNI'  'She expected a restaurant as their meeting place, but instead the lady named the hotel where she was staying.DNI'  'Where is the second-order neural pattern located? Damasio already pointed to the cingulate cortex in his 1994 book.'","An event where a Speaker presents or refers to an entity or example to support a claim, argument, or point.",anti-cumulative,anti-homeomeric,durative,agentive
Choosing,"Adopt selection, Choosing","[Adopt_selection] An Agent has an Attribute which can take different Values, and the Agent selects and then begins to use some Value for that Attribute.  The Attribute includes both physical (shape, color) and abstract (belief, practice) types.  For some LUs in this frame, it is common for only the Value to be expressed, with the Attribute implicit. (Often this implicit attribute can be given second-layer expression on the Value. Note that such second-layer annotation should be assumed in the first two examples below.)  'They scoff at their opponents and assume an air of superior knowledge' 'There are times when teachers should adopt a neutral stance in discussion of morally controversial issues.' 'A person does not have to make the statement ""I adopt this as my position"" to do so.' 
[Choosing] A Cognizer decides upon the Chosen (either an item or a course of action) out of a set of  Possibilities .  The Cognizer may have an Inherent_purpose or a Larger_purpose for the Chosen.  Often an Explanation, which serves as the basis of the choice, is given.  'The council picked you out of all the pilots available to head this mission.' 'No one would choose to live in such squalor.' 'If no judge was unanimously selected in the previous round, play rock-paper-scissors pairwise. CNI' ","An event where an Agent or Cognizer selects a particular option, value, or course of action from a set of available possibilities, typically involving intentional decision-making.",anti-cumulative,homeomeric,atomic,agentive
Agree or refuse to act,Agree or refuse to act,"[Agree_or_refuse_to_act] A Speaker either agrees to or refuses to engage in a Proposed_action, proposed by an Interlocutor. '' 'They agreed to express their outrage with editorials in today's paper.'  'The man's refusal to accept blood severely hampered his treatment after the car accident.' ",An  event where an individual responds to a proposed action by either consenting to or rejecting participation in that action.,anti-cumulative,homeomeric,atomic,agentive
Aiming,Aiming,"[Aiming] An Agent adjusts an Instrument to enable it to interact directly with a difficult-to-access Target_location.  Usually, there is a Targeted entity at the Target_location which is mentioned in its place.  'If you aim your weapons somewhere else , I 'll be more likely to talk .' 'The sortie targeted primarily resupply points , but these included several civilian areas . INI' 'A good marksman still should take aim for a moment before each shot . INI INI'",An event where an Agent intentionally directs or adjusts an Instrument toward a specific Target location to prepare for interaction or action.,anti-cumulative,anti-homeomeric,durative,agentive
Arranging,"Arranging, Making arrangements","[Arranging] An Agent puts a complex Theme into a particular Configuration, which can be a proper order, a correct or suitable sequence, or a spatial position.  'He arranged the elements in the pattern that we now call the periodic table.'  'Try to order them by importance. CNI ' 
[Making_arrangements] An Agent performs a series of unspecified tasks to plan for an Event to take place at a Scheduled_time and Place.  'I've arranged a breakfast meeting for you tomorrow morning with Mr. Huntsberger.'  'Kevin and Beth organized the graduate student conference this year.'",An event where an Agent organizes elements into a structured configuration or prepares for an Event by completing necessary planning tasks.,anti-cumulative,anti-homeomeric,durative,agentive
Arrest,"Arrest, Detaining, Imprisonment, Being incarcerated, Being in captivity","[Arrest] Authorities charge a Suspect, who is under suspicion of having committed a crime (the Charges), and take him/her into custody.'The police arrested Harry on charges of manslaughter.'
[Detaining] The Authorities hold a Suspect under suspicion of having committed a crime (Charges). The Holding_location and period of detention (Duration) may also be specified. 'The police held Mr. Smith in the slammer on charges of killing his lawyer.'
[Imprisonment] The Authorities put a Prisoner in Prison as punishment for an Offense.   'US Drug Researcher Imprisoned for FDA Fraud.' 'Men will be more likely to be put away for murder rather than manslaughter for killing their wives.' 'However, any treatments may be years in the future and in the meantime, criminals will continue to be imprisoned for public safety.'  'The government wrongfully imprisoned them in ?detention centers? (a nice term for concentration camps), tortured them mentally and physically' 
[Being_incarcerated] A Prisoner is punished for committing a Crime by being confined to a Prison for a specified period of time.  'Phil's serving time at Pelican Bay.'
[Being_in_captivity] A Theme is held in captivity by an Agent or Cause.  'Twenty soldiers were in captivity for over a month before they were released'  'I never release my prisoners.'  'She couldn't believe she was prisoner in her own home.'","An event where an Authority or Agent restrains a Suspect or Prisoner by taking them into custody, detaining them, or holding them confined as a consequence of suspicion, accusation, or conviction of wrongdoing.",anti-cumulative,anti-homeomeric,durative,agentive
Assistance,Assistance,[Assistance] A Helper benefits a Benefited_party by enabling the culmination of a Goal that the Benefited_party has.  A Focal_entity that is involved in reaching the Goal may stand in for it.  This Frame has unique Frame-to-Frame Relations: it inherits from and uses the Intentionally_act frame. This is atypical of FrameNet's frame relations.  'Will you help the Government find your brother?' 'Maybe Stephen should assist him with the last manuscript.' 'They helped me psychologically to overcome the physical loss I had suffered.' 'You have helped him tremendously by showing him  how to stand up for himself and by being his friend.' 'By bringing assistance to his troops wherever they were in trouble he aided them greatly.',"An event where a Helper intentionally supports or enables a Benefited Party in achieving their Goal or overcoming an obstacle, either directly or by providing necessary aid.",cumulative,anti-homeomeric,durative,agentive
