EventType,Generic_Definition,Cumulativity,Homeomericity,TemporalExtent,Agentivity,CumulativityJustification,HomeomericityJustification,TemporalExtentJustification,AgentivityJustification
GiveUp,"An event where an Agent relinquishes control or responsibility over a Theme, leaving it without protection, possession, or supervision.",anti-cumulative,anti-homeomeric,durative,agentive,The event is labeled 'anti-cumulative' because the act of relinquishing control or responsibility over something cannot be aggregated; multiple instances of this event do not form a larger instance of the same event type.,"The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the agent's act of relinquishing control and the subsequent state of the theme being without protection, possession, or supervision, which are not instances of the same type.","The event is labeled 'durative' because the process of relinquishing control or responsibility over something typically involves several stages and extends over a period of time, rather than happening instantaneously.","The event is labeled 'agentive' because it involves an intentional action initiated by an agent (relinquishing control or responsibility) with a specific purpose or goal (leaving the Theme without protection, possession, or supervision)."
Achieve,An event where an Agent successfully achieves a Goal after a period of effort or work toward it.,anti-cumulative,anti-homeomeric,durative,agentive,The event is labeled 'anti-cumulative' because achieving a goal is a distinct occurrence and combining multiple instances of goal achievements does not create a larger instance of the same event type.,"The event is labeled 'anti-homeomeric' because it involves different subactivities such as the period of effort or work and the final achievement of the goal, which are not instances of the same type.","The event is labeled 'durative' because it involves a process that unfolds over time, specifically the period of effort or work toward achieving a goal, which can be segmented into distinct stages.","The event is labeled 'agentive' because it involves an agent intentionally working towards and achieving a specific goal, indicating purposeful initiation and direction."
GetReady,An event or condition where a Protagonist has completed all necessary preparations and is in a state of readiness to initiate a specific Activity.,anti-cumulative,anti-homeomeric,durative,agentive,The event is labeled 'anti-cumulative' because the completion of preparations for one activity does not combine with the completion of preparations for another activity to form a larger instance of the same event type.,"The event is labeled 'anti-homeomeric' because the process of preparing for an activity and the state of readiness to initiate it are distinct subactivities, making the event heterogeneous over time.","The event is labeled 'durative' because it involves a process that unfolds over time, including the completion of all necessary preparations and reaching a state of readiness, which can be segmented into distinct stages.","The event is labeled 'agentive' because it involves a protagonist intentionally preparing and readying themselves to initiate a specific activity, indicating a clear goal or purpose."
Adducing,"An event where a Speaker presents or refers to an entity or example to support a claim, argument, or point.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because each instance of a speaker presenting or referring to an entity or example to support a claim, argument, or point is unique and cannot be aggregated into a larger whole that still represents the same type of event.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the speaker presenting an argument and then supporting it with an entity or example, which are not instances of the same type.","The event is labeled 'durative' because the process of presenting or referring to an entity or example to support a claim, argument, or point typically unfolds over time and can be segmented into distinct phases such as introduction, explanation, and conclusion.","The event is labeled 'agentive' because it involves a Speaker intentionally initiating the action of presenting or referring to an entity or example with the specific goal of supporting a claim, argument, or point."
Choosing,"An event where an Agent or Cognizer selects a particular option, value, or course of action from a set of available possibilities, typically involving intentional decision-making.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because the act of making a decision cannot be aggregated; each decision is a distinct, separate event and combining multiple decisions does not result in a larger instance of the same type of event.","The event is labeled 'anti-homeomeric' because the process of decision-making involves distinct subactivities such as evaluation of options, deliberation, and final selection, which are not all instances of the same type.","The event is labeled 'durative' because the process of selecting an option or making a decision involves multiple stages, such as considering different options, evaluating them, and finally making a choice, which unfolds over time.","The event is labeled 'agentive' because it involves an agent or cognizer intentionally making a decision from a set of possibilities, indicating a clear goal or purpose."
Agree or refuse to act,An  event where an individual responds to a proposed action by either consenting to or rejecting participation in that action.,anti-cumulative,anti-homeomeric,durative,agentive,The event is labeled 'anti-cumulative' because the act of an individual responding to a proposed action is a distinct event and cannot be aggregated with another similar event without losing its unique context and identity.,"The event is labeled 'anti-homeomeric' because it involves distinct subactivities, such as the proposal of the action and the individual's response, which are not instances of the same type.","The event is labeled 'durative' because the process of responding to a proposed action, which includes understanding the proposal, considering it, and then consenting or rejecting, unfolds over time and can be divided into distinct stages.","The event is labeled 'agentive' because it involves an individual intentionally making a decision to consent to or reject participation in a proposed action, indicating a clear purpose or goal."
Aiming,An event where an Agent intentionally directs or adjusts an Instrument toward a specific Target location to prepare for interaction or action.,anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because each instance of directing or adjusting an instrument towards a specific target is a distinct action, and combining multiple instances does not create a larger instance of the same action.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the agent's intention, the adjustment of the instrument, and the preparation for interaction or action, which are not all instances of the same type.","The event is labeled 'durative' because it involves a process that unfolds over time, including the agent directing or adjusting an instrument, which can be segmented into distinct phases or stages.","The event is labeled 'agentive' because it involves an agent intentionally directing or adjusting an instrument towards a specific target, indicating a clear goal or purpose."
Arranging,An event where an Agent organizes elements into a structured configuration or prepares for an Event by completing necessary planning tasks.,anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because the aggregation of multiple instances of organizing or planning does not necessarily result in a larger instance of the same type, as each instance is distinct and specific to the elements or tasks involved.","The event is labeled 'anti-homeomeric' because the process of organizing elements or preparing for an event involves multiple distinct subactivities, such as planning, arranging, and executing, which are not all instances of the same type.",The event is labeled 'durative' because organizing elements into a structured configuration or preparing for an event involves a process that extends over time and can be broken down into distinct stages or tasks.,The event is labeled 'agentive' because it involves an agent intentionally initiating and executing a plan or organizing elements with a specific goal or purpose.
Arrest,"An event where an Authority or Agent restrains a Suspect or Prisoner by taking them into custody, detaining them, or holding them confined as a consequence of suspicion, accusation, or conviction of wrongdoing.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because the act of restraining a suspect or prisoner is a distinct occurrence and cannot be aggregated with another similar act without losing its unique identity, as each act of restraint pertains to a specific individual and context.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as suspicion, accusation, detention, or confinement, which are not all instances of the same type.","The event is labeled 'durative' because the process of restraining a suspect or prisoner, which includes taking them into custody, detaining them, or holding them confined, unfolds over time and can be divided into distinct stages.","The event is labeled 'agentive' because it involves an Authority or Agent intentionally initiating the action of restraining a Suspect or Prisoner with the specific goal of custody, detention, or confinement due to suspicion, accusation, or conviction of wrongdoing."
Assistance,"An event where a Helper intentionally supports or enables a Benefited Party in achieving their Goal or overcoming an obstacle, either directly or by providing necessary aid.",cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'cumulative' because multiple instances of a helper supporting a benefited party can be combined into a larger instance of the same type, such as a series of supportive actions contributing to the achievement of a larger goal.","The event is labeled 'anti-homeomeric' because the process of helping can involve various subactivities (like advising, providing resources, physical assistance etc.) which may not all be instances of the same type of event.","The event is labeled 'durative' because the act of supporting or enabling someone to achieve a goal or overcome an obstacle typically involves a process that unfolds over time, with distinct stages or steps.","The event is labeled 'agentive' because it involves a Helper intentionally initiating an action with a specific goal to support or enable a Benefited Party, indicating clear intent and purpose."
Preventing or letting,"An agent or condition influences whether an undesirable event or situation occurs, either by actively preventing it or by allowing it to happen.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because the prevention or allowance of an undesirable event or situation by an agent or condition cannot be aggregated into a larger whole that is still an instance of the same type, as each instance remains distinct and non-overlapping.","The event is labeled 'anti-homeomeric' because it involves a variety of subactivities or stages, such as the initial condition, the agent's action or inaction, and the final outcome, which are not all instances of the same type of event.","The event is labeled 'durative' because it involves a process that unfolds over time, with the agent or condition actively preventing or allowing an undesirable situation to occur, which implies distinct stages or phases.","The event is labeled 'agentive' because it involves an agent or condition intentionally influencing the outcome, either by actively preventing or allowing an undesirable situation to occur, indicating a clear purpose or goal."
Bearing arms,"An event or state where a Protagonist possesses or is equipped with a Weapon, with the extent of their armament potentially being specified.",anti-cumulative,homeomeric,atomic,agentive,The event is labeled 'anti-cumulative' because possessing or being equipped with a weapon is an individual state that cannot be aggregated; two instances of weapon possession do not result in a larger instance of the same type.,"The event is labeled 'homeomeric' because throughout the entire duration of the event, the protagonist consistently possesses or is equipped with a weapon, making every temporal part of the event an instance of the same type.",The event is labeled 'atomic' because the act of a protagonist possessing or being equipped with a weapon is considered an instantaneous occurrence without distinct phases or stages.,"The event is labeled 'agentive' because it involves a protagonist intentionally equipping themselves with a weapon, which is a goal-directed action."
Becoming,"An event where an Entity acquires a new quality, characteristic, or category membership, resulting in a change of its state or classification.",anti-cumulative,anti-homeomeric,durative,non-agentive,"The event is labeled 'anti-cumulative' because the acquisition of a new quality or characteristic by an entity is a unique, distinct occurrence and combining multiple such instances does not result in another instance of the same type.","The event is labeled 'anti-homeomeric' because it involves a change in state or classification, indicating that different temporal parts of the event may not be instances of the same type due to the transformation that occurs.","The event is labeled 'durative' because the process of an entity acquiring a new quality, characteristic, or category membership implies a progression or change over time, which can be segmented into distinct phases or stages.","The event is labeled 'non-agentive' because while it involves a change or action (the acquisition of a new quality or characteristic), this change is not necessarily initiated with a specific goal or purpose by the entity itself, but can occur naturally or due to external factors."
Becoming a member,An event where an individual or entity enters into membership within a socially-defined Group.,anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because the act of multiple individuals or entities joining a group does not create a new instance of the same event, but rather multiple distinct instances of the event.","The event is labeled 'anti-homeomeric' because the process of entering into membership within a socially-defined group involves multiple distinct subactivities, such as application, acceptance, and initiation, which are not all instances of the same type.",The event is labeled 'durative' because the process of entering into membership within a socially-defined group typically involves multiple stages and extends over a period of time.,The event is labeled 'agentive' because it involves an individual or entity intentionally initiating the action of joining a socially-defined group with a specific goal or purpose.
