EventType,Generic_Definition
GiveUp,"An event where an Agent relinquishes control or responsibility over a Theme, leaving it without protection, possession, or supervision."
Achieve,An event where an Agent successfully achieves a Goal after a period of effort or work toward it.
GetReady,An event or condition where a Protagonist has completed all necessary preparations and is in a state of readiness to initiate a specific Activity.
Adducing,"An event where a Speaker presents or refers to an entity or example to support a claim, argument, or point."
Choosing,"An event where an Agent or Cognizer selects a particular option, value, or course of action from a set of available possibilities, typically involving intentional decision-making."
Agree or refuse to act,An  event where an individual responds to a proposed action by either consenting to or rejecting participation in that action.
Aiming,An event where an Agent intentionally directs or adjusts an Instrument toward a specific Target location to prepare for interaction or action.
Arranging,An event where an Agent organizes elements into a structured configuration or prepares for an Event by completing necessary planning tasks.
Arrest,"An event where an Authority or Agent restrains a Suspect or Prisoner by taking them into custody, detaining them, or holding them confined as a consequence of suspicion, accusation, or conviction of wrongdoing."
Assistance,"An event where a Helper intentionally supports or enables a Benefited Party in achieving their Goal or overcoming an obstacle, either directly or by providing necessary aid."
Preventing or letting,"An agent or condition influences whether an undesirable event or situation occurs, either by actively preventing it or by allowing it to happen."
Bearing arms,"An event or state where a Protagonist possesses or is equipped with a Weapon, with the extent of their armament potentially being specified."
Becoming,"An event where an Entity acquires a new quality, characteristic, or category membership, resulting in a change of its state or classification."
Becoming a member,An event where an individual or entity enters into membership within a socially-defined Group.
Know,"A cognizer perceives or notices a phenomenon, thereby incorporating it into their understanding of the world, without necessarily reasoning from evidence."
Being in operation,"An event or state where a Device or Object is functioning, turned on, or prepared to perform its intended role."
Control,"An event where an Agent or Controlling Entity exerts, attempts, or maintains influence over a Dependent Entity, Situation, Variable, or themselves, either by directing its state, limiting its change, or preventing undesired outcomes."
Breathing,"An event where an Agent moves air into or out of their body, typically as part of a natural physiological process."
Besieging,"An event where an Assailant surrounds and isolates a Victim, typically a fortified location, with the strategic goal of forcing surrender, weakening resistance, or preparing for invasion."
Carry goods,"An event or state where a Distributor provides, offers, or makes available a type or class of Goods for distribution, sale, or lending, typically maintaining the capacity to supply those Goods."
Bringing,"An event where an Agent or Carrier moves a Theme along a Path toward a Goal, controlling the movement during the process."
Building,An event where an Agent assembles or constructs a new unified Entity by joining together multiple Components.
Cause change of position on a scale,"An event where an Agent or a Cause alters the position of an Item along a measurable scale, changing it from one value to another."
Cause change of strength,"An event where an Agent causes a Patient to become stronger, more secure, or more resilient than before."
Employment,An event or state where an Employee holds a Position and performs work in exchange for Compensation provided by an Employer.
Change,"An event where an Agent or Cause induces a fundamental change in an Entity — either altering its attributes, category, or physical phase."
Expansion,"An event where an Agent or non-human Cause induces a change in the physical size or dimensions of an Item, either overall or along specific directions."
Bodily harm,"An event where a bodily injury occurs to a person, either caused intentionally or accidentally, affecting the whole person or a specific body part."
Cause to amalgamate,"An event where an Agent causes multiple Parts to be combined into a single Whole, such that the original parts lose their distinct separateness in the resulting entity."
Cause to be included,"An event where an Agent or Cause brings a New_member into an existing Group, making it part of that collective."
Change sentiment,An event where an Agent intentionally causes an Experiencer to feel or undergo a specific internal mental or emotional state.
Cause to make progress,An event where an Agent acts to advance a Project or Entity toward a more developed or improved state.
Change of leadership,"An event where a Selector initiates the appointment of a New Leader or the removal of an Old Leader, resulting in a change in who holds a leadership position."
Change tool,"An event where an Agent replaces one Tool, resource, or implement (the Old_tool) with a different one (the New_tool) for accomplishing a task or function."
Communication,"An event where one or more parties convey, exchange, or respond to information, emotions, intentions, or requests, typically through language or symbolic means, either interactively or unidirectionally."
Presence,"An event or state in which an Entity is understood to exist, either absolutely or within specific temporal, spatial, or situational boundaries, and may optionally be confirmed by an observer."
Collaboration,An event where two or more entities work together jointly and cooperatively toward a shared goal or task.
Coming to be,"An event where an Entity comes into existence, typically associated with a particular Place, Time, Cause, or originating Components."
Coming to believe,"An event where a Cognizer forms a new belief about some Content, often based on reasoning or evidence."
Commerce pay,An event where a Buyer transfers Money to another party as compensation for receiving Goods or Services.
Commerce sell,An event where a Seller transfers Goods to a Buyer in exchange for Money.
Commitment,"An event where a Speaker pledges or undertakes to perform a specific action in the future, directed toward or concerning an Addressee."
Committing crime,"An event where a Perpetrator or Wrongdoer intentionally engages in an act that violates legal, social, or moral codes, thereby committing a crime, offense, or misdeed."
Competition,"An event where Participants engage in a structured, rule-governed activity to achieve an advantageous outcome, often evaluated by criteria such as rank or score."
Giving,"An event where a Benefactor, Donor, or Offerer initiates the transfer or availability of a Benefit, Theme, or Good to a Beneficiary or Recipient, resulting in a new possession or favorable situation for the Receiver, typically motivated by generosity or willingness rather than obligation."
Confronting problem,"An event or state where an Agent or Experiencer faces a challenge, obstacle, or negative Issue that affects their ability to act or complete an Activity, typically requiring effort, adaptation, or resolution."
