Event Type,Military Definition,Cumulativity_LLM,Homeomericity_LLM,TemporalExtent_LLM,Agentivity_LLM,TRUE_Cumulativity,TRUE_Homeomericity,TRUE_TemporalExtent,TRUE_Agentivity
Achieve,"Achieving in a military context refers to an event in which a military force, unit, or agent successfully fulfills a tactical or strategic objective such as securing territory, neutralizing a target, or completing a mission.",anti-cumulative,homeomeric,atomic,agentive,anti-cumulative,homeomeric,atomic,agentive
Aiming,"Aiming in a military context is the intentional act of directing a weapon system, targeting device, or line of sight toward an intended target in preparation for engagement.",anti-cumulative,homeomeric,durative,agentive,anti-cumulative,homeomeric,durative,agentive
Arrest,"Arresting in a military context refers to an event where an authorized agent (typically a soldier, officer, or military police) intentionally restrains and takes control of an individual (often a combatant, civilian, or detainee) for purposes.",anti-cumulative,anti-homeomeric,atomic,agentive,anti-cumulative,homeomeric,atomic,agentive
Attack,"Attacking in a military context is a coordinated and intentional action initiated by an armed force, unit, or agent with the aim of inflicting harm, neutralizing opposition, or gaining control over a target. It typically involves the use of weapons or tactical maneuvers directed toward enemy personnel, assets, or infrastructure. The event is agent-driven, goal-oriented, and can range in scale from individual engagements to large-scale operations.",anti-cumulative,anti-homeomeric,durative,agentive,anti-cumulative,anti-homeomeric,durative,agentive
Bearing arms,"Bearing arms in a military context refers to the state or ongoing condition in which an individual is equipped with and carries weapons or combat gear, signifying preparedness for engagement or defense.",cumulative,homeomeric,durative,non-agentive,cumulative,homeomeric,durative,non-agentive
Besieging,"Besieging is a coordinated military operation in which an armed force surrounds and isolates a target, typically a fortified location such as a city, base, or stronghold with the strategic aim of cutting off supplies, reinforcements, or escape, thereby compelling surrender or weakening resistance over time.",anti-cumulative,homeomeric,durative,agentive,anti-cumulative,anti-homeomeric,durative,agentive
Bodily harm,Bodily harm in a military context refers to an event in which a person whether combatant or civilian suffers physical injury as a result of direct or indirect military action.,anti-cumulative,anti-homeomeric,atomic,agentive,anti-cumulative,anti-homeomeric,durative,agentive
Conquering,"Conquering in a military context is a strategic and outcome-oriented event in which a military force gains authoritative control over a territory, population, or strategic objective by defeating opposition through combat, occupation, or surrender. ",anti-cumulative,anti-homeomeric,durative,agentive,anti-cumulative,anti-homeomeric,durative,agentive
Criminal investigation,"Criminal investigation in a military context refers to a structured and goal-driven process in which military police or investigative units gather, examine, and analyze evidence related to alleged violations of military law, codes of conduct, or wartime regulations. ",anti-cumulative,anti-homeomeric,durative,agentive,anti-cumulative,anti-homeomeric,durative,agentive
Defending Repel,"Defending or repelling in a military context refers to an active, intentional effort by military forces to resist or stop an enemy's attack, intrusion, or offensive operation. ",cumulative,anti-homeomeric,durative,agentive,anti-cumulative,anti-homeomeric,durative,agentive
Emptying,"Emptying in a military context refers to an event in which an agenteither individual or unitintentionally removes the contents of a container, space, or resource, rendering it vacant or depleted. ",cumulative,homeomeric,durative,agentive,cumulative,anti-homeomeric,durative,agentive
